Iterations	Scores	Mean Scores
1	0	0
2	-1	0
3	-1	0
4	-4	-1
5	93	17
6	-1	14
7	0	12
8	0	10
9	-2	9
10	0	8
11	-67	1
12	-60	-3
13	-10	-4
14	-4	-4
15	-1	-3
16	-1	-3
17	-8	-3
18	95	1
19	-4	1
20	-9	0
21	-8	0
22	0	0
23	-12	0
24	-8	0
25	193	7
26	-2	6
27	72	9
28	-63	6
29	-8	6
30	-9	5
31	-10	5
32	33	6
33	-287	-2
34	-12	-3
35	-22	-3
36	33	-2
37	74	0
38	181	4
39	122	7
40	84	9
41	185	13
42	-73	11
43	88	13
44	-20	12
45	-3	12
46	-11	11
47	83	13
48	-26	12
49	-28	11
50	-4	11
51	74	12
52	-19	11
53	-4	11
54	179	14
55	-10	14
56	-23	13
57	62	14
58	-11	13
59	0	13
60	-589	3
61	-2	-42
62	228	-38
63	-169	-63
64	-52	-63
65	185	-59
66	827	-46
67	266	-41
68	271	-36
69	685	-26
70	94	-24
71	1192	-7
72	855	4
73	451	10
74	1051	24
75	-660	15
76	-285	11
77	425	16
78	341	21
79	442	26
80	853	36
81	324	40
82	1426	57
83	1458	74
84	1294	88
85	1426	104
86	367	107
87	252	108
88	421	112
89	585	117
90	1844	137
91	1081	147
92	731	153
93	1850	171
94	-542	164
95	966	172
96	145	172
97	1117	182
98	267	183
99	249	183
100	1102	192
101	781	198
102	1596	212
103	774	217
104	87	216
105	968	223
106	332	224
107	260	225
108	381	226
109	-56	224
110	471	226
111	564	229
112	972	235
113	803	240
114	1601	252
115	1289	261
116	220	261
117	464	263
118	1071	270
119	619	273
120	237	272
121	323	273
122	485	274
123	554	277
124	65	275
125	586	277
126	252	277
127	677	280
128	405	281
129	-256	277
130	906	282
131	-114	279
132	661	282
133	708	285
134	766	289
135	629	291
136	-20	289
137	-96	286
138	148	285
139	256	285
140	258	285
141	232	284
142	160	283
143	938	288
144	1941	299
145	1382	307
146	1385	314
147	498	316
148	1308	322
149	873	326
150	1056	331
151	297	331
152	1270	337
153	770	340
154	178	339
155	349	339
156	592	340
157	286	340
158	1175	345
159	543	346
160	727	349
161	851	352
162	1230	357
163	1253	363
164	919	366
165	-272	362
166	151	361
167	545	362
168	392	362
169	665	364
170	1022	368
171	1036	372
172	1449	378
173	808	381
174	816	383
175	1275	388
176	168	387
177	401	387
178	331	387
179	203	386
180	536	387
181	446	387
182	-98	384
183	421	384
184	315	384
185	96	382
186	-7	380
187	40	379
188	454	379
189	674	380
190	1585	387
191	219	386
192	686	387
193	178	386
194	645	388
195	7	386
196	783	388
197	1419	393
198	-7	391
199	804	393
200	540	394
201	155	393
202	1049	396
203	1064	399
204	92	398
205	851	400
206	684	401
207	270	401
208	1014	404
209	525	404
210	617	405
211	841	407
212	651	408
213	978	411
214	-82	409
215	437	409
216	509	409
217	1015	412
218	72	411
219	1074	414
220	514	414
221	600	415
222	997	417
223	971	420
224	509	420
225	263	420
226	801	421
227	597	422
228	321	422
229	446	422
230	774	423
231	21	422
232	486	422
233	911	424
234	-9	422
235	165	421
236	152	420
237	898	422
238	650	423
239	696	424
240	73	422
241	111	421
242	691	422
243	316	422
244	200	421
245	404	421
246	121	420
247	-34	418
248	260	417
249	433	417
250	1167	420
251	1276	424
252	1934	430
253	213	429
254	438	429
255	284	428
256	83	427
257	33	425
258	334	425
259	936	427
260	-7	425
261	341	425
262	927	427
263	84	426
264	-333	423
265	-86	421
266	525	421
267	447	421
268	550	422
269	773	423
270	445	423
271	272	423
272	878	424
273	582	425
274	520	425
275	690	426
276	360	426
277	606	427
278	265	426
279	1178	429
280	442	429
281	1434	432
282	526	433
283	-15	431
284	565	431
285	778	433
286	193	432
287	-204	430
288	284	429
289	550	430
290	813	431
291	-34	429
292	1675	434
293	365	433
294	749	434
295	392	434
296	368	434
297	130	433
298	1763	437
299	729	438
300	401	438
301	1281	441
302	14	440
303	329	439
304	372	439
305	148	438
306	441	438
307	188	437
308	641	438
309	804	439
310	506	439
311	61	438
312	899	440
313	302	439
314	298	439
315	233	438
316	362	438
317	1158	440
318	668	441
319	568	441
320	629	442
321	247	441
322	430	441
323	91	440
324	523	440
325	464	440
326	448	440
327	1075	442
328	264	442
329	685	443
330	593	443
331	630	444
332	1214	446
333	270	445
334	917	447
335	964	448
336	81	447
337	79	446
338	1178	448
339	586	449
340	1088	451
341	178	450
342	156	449
343	359	449
344	992	450
345	66	449
346	-1	448
347	28	447
348	-314	444
349	1555	448
350	516	448
351	280	447
352	572	448
353	152	447
354	213	446
355	196	445
356	364	445
357	257	445
358	343	444
359	639	445
360	662	446
361	-108	444
362	791	445
363	229	444
364	925	446
365	455	446
366	274	445
367	360	445
368	158	444
369	830	445
370	712	446
371	304	446
372	362	445
373	547	446
374	423	446
375	502	446
376	354	446
377	213	445
378	215	444
379	302	444
380	511	444
381	-53	443
382	744	444
383	248	443
384	532	443
385	197	443
386	345	442
387	268	442
388	767	443
389	478	443
390	874	444
391	76	443
392	590	443
393	1035	445
394	392	445
395	781	446
396	585	446
397	666	447
398	785	447
399	483	447
400	-184	446
401	657	446
402	60	445
403	35	444
404	113	444
405	1069	445
406	250	445
407	1669	448
408	169	447
409	586	447
410	492	447
411	231	447
412	543	447
413	1759	450
414	-534	448
415	504	448
416	941	449
417	1299	451
418	748	452
419	414	452
420	386	452
421	421	452
422	765	452
423	677	453
424	246	452
425	540	453
426	605	453
427	606	453
428	385	453
429	228	453
430	730	453
431	-20	452
432	133	451
433	420	451
434	-5	450
435	551	451
436	744	451
437	371	451
438	706	452
439	451	452
440	718	452
441	1231	454
442	1075	455
443	435	455
444	620	456
