Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	-8	-8	3	9
1	-5	-6	3	6
2	-5	-6	3	6
3	-9	-6	3	10
4	-4	-6	3	5
5	-5	-6	3	6
6	-6	-6	3	7
7	-2	-5	3	3
8	-13	-6	3	14
9	-3	-6	3	4
10	-7	-6	3	8
11	-1	-5	3	2
12	-2	-5	3	3
13	126	4	4	26
14	-5	3	3	6
15	121	10	4	31
16	129	17	4	23
17	-23	15	3	24
18	-3	14	3	4
19	0	13	3	1
20	-1	13	3	2
21	-9	12	3	10
22	-51	9	2	43
23	-8	8	3	9
24	0	8	3	1
25	-47	6	3	48
26	-28	4	3	29
27	-40	3	3	41
28	-10	2	3	11
29	135	7	4	17
30	103	10	4	49
31	150	14	4	2
32	114	17	4	38
33	-34	16	3	35
34	138	19	4	14
35	67	20	3	76
36	225	26	5	78
37	-12	25	3	13
38	-19	24	3	20
39	108	26	3	35
40	-18	25	3	19
41	-65	23	3	66
42	-54	21	3	55
43	-91	18	3	92
44	146	21	4	6
45	196	25	5	107
46	-7	24	3	8
47	-55	23	3	56
48	281	28	5	22
49	142	30	4	10
50	244	34	5	59
51	-47	33	3	48
52	-4	32	3	5
53	251	36	5	52
54	225	40	5	78
55	133	41	4	19
56	204	44	5	99
57	-21	43	3	22
58	557	52	6	39
59	136	53	4	16
60	200	55	5	103
61	-9	54	3	10
62	248	57	4	46
63	185	59	5	118
64	280	63	5	23
65	-12	62	3	13
66	216	64	5	87
67	-1	63	3	2
68	0	62	3	1
69	482	68	6	114
70	560	75	7	45
71	175	76	5	128
72	147	77	4	5
73	-34	76	3	35
74	287	79	5	16
75	574	85	7	31
76	275	88	5	28
77	-6	86	3	7
78	81	86	4	71
79	879	96	9	28
80	424	100	6	30
81	-4	99	3	5
82	710	106	8	46
83	119	106	4	33
84	-3	105	3	4
85	280	107	5	23
86	688	114	8	68
87	907	123	11	302
88	102	123	4	50
89	-24	121	3	25
90	250	122	5	53
91	827	130	9	80
92	140	130	4	12
93	286	132	5	17
94	269	133	5	34
95	393	136	5	52
96	1279	148	12	81
97	278	149	5	25
98	-41	147	3	42
99	380	149	6	74
